jugador(a),Equipo,Minutos disputados,Posiciones,Edad,Duelos defensivos ganados p90,Regates evitados p90,Balones divididos ganados p90,Faltas p90
G. Taylor,Deportivo Saprissa,1525,"rb, dmf",25,6.85,1.48,0.89,2.01
S. Taylor,Deportivo Saprissa,1634,"rb, rb5",22,6.5,1.82,0.88,0.83
J. Leiva,Puntarenas,600,"rcmf, rdmf",33,6,1.05,1.5,1.5
A. Matarrita,Deportivo Saprissa,563,"dmf, lcb3, rb",21,5.91,1.28,1.28,1.44
P. Fonseca,San Carlos,625,"rcb3, rb",27,5.9,1.15,0.58,1.01
G. Torres,Deportivo Saprissa,708,"rw, ramf",28,5.85,0.89,0.51,0.25
J. Guadamúz,Municipal Liberia,1471,"lb5, lb, lw",21,5.75,1.77,1.41,1.04
Y. Piedra,San Carlos,936,"lcb3, lcb",32,5.67,1.06,0.87,1.92
A. Murillo,Herediano,793,"rcmf, lcmf, lcmf3",28,5.67,0.68,1.36,1.25
K. Espinoza,Sporting San José,561,"rcb3, rcb",29,5.61,1.28,1.6,1.28
S. Acuña,Deportivo Saprissa,788,"rdmf, dmf, rcmf",23,5.6,1.03,1.83,1.48
J. Azofeifa,Deportivo Saprissa,1306,lb,25,5.58,1.65,0.96,1.93
D. Araya,Herediano,1475,"lb, lb5, lw",25,5.55,1.16,0.61,1.22
F. Coronado,Sporting San José,814,"rcmf, dmf, rdmf",24,5.53,1,0.77,1.99
A. Sinclair,Puntarenas,732,"rcmf, lcmf, rdmf",26,5.41,0.98,1.6,2.83
C. Barahona,Cartaginés,1131,rb,23,5.33,1.43,0.64,1.83
R. Rodríguez,Pérez Zeledón,930,"rcb, rb",23,5.23,1.55,1.45,1.35
S. Johnson,Municipal Liberia,1462,"rb5, rb, rw",23,5.23,1.54,0.8,1.29
G. Montes,Herediano,784,"rcb, rcb3, cb",29,5.17,0.69,1.26,1.15
G. Villalobos,Alajuelense,1357,"lcb, rcb, cb",24,5.11,1.26,1.72,1.13
W. Francis,Municipal Liberia,1026,"lcb3, lb5, lb",35,5.09,1.67,0.88,0.44
G. Castillo,San Carlos,1368,"lb, lb5, lwb",24,5.07,1.18,1.38,1.18
J. Mora,Deportivo Saprissa,555,"lb, lwb",33,5.03,1.3,1.3,1.14
L. Hernández,Pérez Zeledón,1554,"lb, lb5",28,4.98,1.39,0.58,1.74
K. Fuller,Herediano,857,"rb, rw, rb5",31,4.94,0.74,0.84,1.47
H. Quirós,Herediano,1236,"rb, rb5",27,4.88,0.8,0.51,0.66
D. López,Cartaginés,1412,"rcmf, lcmf, cf",27,4.78,1.02,1.15,2.04
L. Ayala,Guadalupe,642,"lcb, lcb3, lcmf",28,4.77,0.98,1.26,1.12
C. Pineda,Sporting San José,965,"lcmf, rcmf",28,4.76,0.93,1.21,1.59
A. Soto,San Carlos,1575,"lw, cf, lcmf",23,4.74,0.8,0.86,1.31
B. Bonilla,Guadalupe,741,"rcmf, lb5, rdmf",29,4.74,0.85,1.46,1.58
L. Paradela,Deportivo Saprissa,1132,"lw, lamf, ramf",29,4.69,0.64,1.11,1.99
