jugador(a),Equipo,Minutos disputados,Posiciones,Edad,Duelos ofensivos ganados p90,Regates exitosos p90,Faltas recibidas p90
L. Díaz,Sporting San José,979,"rw, rcmf3",27,6.89,4.6,3.49
K. Vargas,Alajuelense,702,"lw, lamf, ramf",24,6.15,3.72,2.31
R. Taylor,Puntarenas,881,"lw, lamf, ramf",28,6.13,2.76,2.04
L. Paradela,Deportivo Saprissa,1132,"lw, lamf, ramf",29,5.88,2.62,3.58
J. Campbell,Alajuelense,616,"cf, rcmf, amf",33,5.84,2.05,2.78
C. Núñez,Cartaginés,1584,"cf, amf, lcmf",28,5.68,1.42,3.13
D. Araya,Herediano,1475,"lb, lb5, lw",25,5.25,2.26,1.4
E. Aguilar,Herediano,1332,"rcmf, rw, amf",34,5.2,0.88,2.77
J. Mora,Cartaginés,833,"lw, lamf, ramf",22,5.19,3.24,1.73
A. Amador,Guadalupe,893,"lw, rw, lamf",25,5.14,2.22,3.33
R. Araya,Herediano,689,"lw, lamf",26,5.09,2.48,2.22
S. Lucumí,Alajuelense,677,"lw, cf, lamf",31,4.92,1.86,1.33
G. Torres,Deportivo Saprissa,708,"rw, ramf",28,4.83,2.54,1.4
J. Méndez,Sporting San José,1551,"cf, lw",24,4.64,1.97,1.51
M. Villalobos Vega,Municipal Liberia,863,"lw, rcmf3, lcmf3",26,4.59,2.4,1.88
G. Sibaja Pérez,Herediano,616,"rw, lw",17,4.53,1.61,1.75
J. Venegas,San Carlos,1316,"rw, rwb, rb5",38,4.45,1.91,2.39
G. Castro,Cartaginés,567,"ramf, rw, cf",24,4.44,2.54,1.9
R. Leal,Herediano,728,"lw, rw, amf",29,4.2,1.24,1.48
Tomás Rodriguez,Deportivo Saprissa,1327,cf,27,4.07,1.7,1.49
D. Colindres,Puntarenas,921,"lwf, cf, lw",41,4.01,0.98,2.15
R. Ramírez,Municipal Liberia,699,"lw, lcmf3, cf",22,3.99,2.32,1.03
S. Taylor,Deportivo Saprissa,1634,"rb, rb5",22,3.97,1.76,1.38
Bancy Hernández,Deportivo Saprissa,1389,"lw, ramf, lamf",25,3.82,2.79,1.43
E. Morales,Guadalupe,985,"lw, rw, lamf",26,3.75,1.28,2.01
T. Demetrius,Guadalupe,862,"cf, lw, rw",21,3.65,2.19,0.94
Claudio Montero,Cartaginés,567,"rw, cf, ramf",20,3.65,1.75,2.7
F. Lesme,Municipal Liberia,549,cf,24,3.61,0.66,1.97
J. Hernández,Municipal Liberia,976,"cf, lw",32,3.6,1.48,1.38
