jugador(a),Equipo,Minutos disputados,Posiciones,Edad,Goles p90,Remates p90,Remates a puerta p90,Conversión de gol,xG p90
O. Sinclair,Deportivo Saprissa,600,"cf, lcmf",28,0.3,3.45,1.05,8.696,0.51
G. Castro,Cartaginés,567,"ramf, rw, cf",24,0.32,3.33,1.11,9.524,0.34
R. Márquez,Cartaginés,954,cf,28,0.09,3.3,0.85,2.857,0.46
J. Brenes,Deportivo Saprissa,900,"lcmf, ldmf",29,0.3,3.2,1.1,9.375,0.18
Á. Zaldívar,Alajuelense,885,"cf, amf, rw",32,0.41,3.05,1.02,13.33,0.36
J. Venegas,Cartaginés,692,"cf, amf",37,0.26,2.99,1.04,8.696,0.49
Bancy Hernández,Deportivo Saprissa,1389,"lw, ramf, lamf",25,0.19,2.72,1.17,7.143,0.26
L. Paradela,Deportivo Saprissa,1132,"lw, lamf, ramf",29,0.32,2.7,1.19,11.77,0.34
M. Hernández,Herediano,1278,cf,36,0.77,2.61,1.13,29.73,0.45
Tomás Rodriguez,Deportivo Saprissa,1327,cf,27,0.34,2.58,1.02,13.16,0.45
R. Araya,Herediano,689,"lw, lamf",26,0.26,2.48,1.04,10.53,0.3
F. Lesme,Municipal Liberia,549,cf,24,0.66,2.46,1.48,26.67,0.49
K. Vargas,Alajuelense,702,"lw, lamf, ramf",24,0.38,2.44,0.77,15.79,0.21
C. Perez,Alajuelense,1149,"lw, rw, rcmf",21,0.16,2.43,1.1,6.452,0.15
A. Amador,Guadalupe,893,"lw, rw, lamf",25,0,2.42,0.91,0,0.07
E. Morales,Guadalupe,985,"lw, rw, lamf",26,0.09,2.38,0.91,3.846,0.17
R. Carballo,Puntarenas,1212,cf,30,0.15,2.3,0.82,6.452,0.32
J. Ruiz,Guadalupe,983,"cf, amf",32,0.18,2.29,0.46,8,0.18
R. Cisneros,Alajuelense,1412,cf,29,0.57,2.29,0.96,25,0.53
B. Martínez,San Carlos,907,cf,29,0.5,2.28,0.89,21.74,0.51
M. Torres,Deportivo Saprissa,1511,"amf, rcmf",39,0.24,2.26,0.66,10.53,0.16
D. Colindres,Puntarenas,921,"lwf, cf, lw",41,0.1,2.25,0.29,4.348,0.28
