jugador(a),Equipo,Minutos disputados,Posiciones,Edad,Ganancia de duelos,Ganancia de encares,Ganancia de duelos aéreos de campo ganados,Posesión perdida peligrosa en campo propio p90
K. Waston,Deportivo Saprissa,1774,"lcb, rcb",38,67.8,45,74.62,0.46
Y. Hernández,Municipal Liberia,904,"lcmf, lcmf3, rcmf",30,52,29.41,72.22,0.7
J. Rubio,Herediano,1619,"lcb, lcb3",29,66.53,45.95,70.83,0.56
A. Soto,Sporting San José,1520,"lcb, lcb3",34,66.32,46.15,69.57,0.71
J. Agüero,San Carlos,1748,"cb, lcb, rcb",32,65.56,66.67,68.97,1.18
G. González,Sporting San José,1568,"rcb, cb",38,66.5,64.29,68,0.92
S. van der Putten,Alajuelense,730,"rcb, cb",21,66.96,55.56,67.57,0.74
D. Mesén,Cartaginés,1324,rcb,27,66.46,56.25,67.35,0.41
S. Rodríguez,Herediano,1585,"dmf, rcb3, lcmf",30,59.8,58.06,66.67,0.17
K. Fajardo,Guadalupe,714,"lcb3, lcb",36,68.52,62.5,65.91,0.88
A. Bran,Alajuelense,1606,"lcmf, rcmf, ldmf",25,53.9,37.5,64.71,0.39
Y. Piedra,San Carlos,936,"lcb3, lcb",32,65.63,64.71,64.29,0.58
S. Taylor,Deportivo Saprissa,1634,"rb, rb5",22,55.45,48.53,63.33,0.22
G. Montes,Herediano,784,"rcb, rcb3, cb",29,60.99,46.15,61.9,0.46
W. Decas,Puntarenas,1505,"cb, lcb, lcb3",26,62.67,66.67,60.76,0.9
S. Zúñiga,Cartaginés,1683,"lb, rw",29,55.07,36.67,60,0.32
Y. Molina,Municipal Liberia,1544,"rcb3, rcb",30,64.86,50,59.38,0.64
J. Rivera Stuart,Pérez Zeledón,1115,"rb, rb5",29,53.37,42.11,59.26,0.4
A. Matarrita,Deportivo Saprissa,563,"dmf, lcb3, rb",21,61.34,50,58.82,0.16
J. Leiva,Puntarenas,600,"rcmf, rdmf",33,52.78,43.75,58.33,0.15
C. Borges,Alajuelense,915,"rcmf, rdmf",38,54.49,40.74,57.89,0.69
R. Miranda,Guadalupe,1575,"cb, lcb, rcb",30,63.11,52.94,57.47,0.91
F. Lesme,Municipal Liberia,549,cf,24,44.38,0,57.38,0.16
R. Cole,Puntarenas,759,"rw, rwf, amf",27,42.02,37.5,57.14,0.47
B. Martínez,San Carlos,907,cf,29,38.08,25,56.16,0.3
A. Sinclair,Puntarenas,732,"rcmf, lcmf, rdmf",26,50.84,44.44,55.88,0.98
W. Fernández,Pérez Zeledón,1726,"rcb, lcb",32,54.5,45.16,55.74,0.83
G. Taylor,Deportivo Saprissa,1525,"rb, dmf",25,56.21,51.02,55,0.3
F. Coronado,Sporting San José,814,"rcmf, dmf, rdmf",24,55.36,60,54.72,0.11
J. Campbell,Alajuelense,616,"cf, rcmf, amf",33,42.07,41.67,54.55,0.58
M. Pereira,Cartaginés,1408,"lcb, rcb",31,56.74,62.96,54.24,0.38
