Nombre,Equipo,Posiciones,Edad,Minutos disputados,Impacto por 90,Impacto ofensivo,Impacto defensivo p90
A. Rodríguez,Deportivo Saprissa,cf,36,538,0.77,0.779,-0.034
R. Cisneros,Alajuelense,cf,29,1412,0.559,0.56,-0.013
J. Gaete,Cartaginés,"lw, rw, lamf",29,737,0.509,0.497,0.073
D. González,Cartaginés,lb,30,833,0.46,0.482,-0.132
M. Hernández,Herediano,cf,36,1278,0.433,0.424,0.081
J. Hernández,Municipal Liberia,"cf, lw",32,976,0.417,0.367,0.352
F. Khatami,Puntarenas,"lcb3, lcmf, lcb",21,1385,0.417,0.39,0.277
Al. López,Sporting San José,"rcmf, lcmf, lcmf3",33,1262,0.403,0.356,0.51
D. Guzmán,Deportivo Saprissa,"ldmf, dmf, rcmf",36,922,0.384,0.346,0.288
L. Paradela,Deportivo Saprissa,"lw, lamf, ramf",29,1132,0.381,0.359,0.174
J. Aguilar,San Carlos,"cf, rw, amf",31,1171,0.378,0.37,0.057
R. Araya,Herediano,"lw, lamf",26,689,0.376,0.35,0.144
B. Sequeira,Municipal Liberia,"rb, rw",28,688,0.371,0.308,0.232
G. Castro,Cartaginés,"ramf, rw, cf",24,567,0.367,0.375,-0.028
J. Rivera Stuart,Pérez Zeledón,"rb, rb5",29,1115,0.365,0.355,0.054
F. Lesme,Municipal Liberia,cf,24,549,0.36,0.364,-0.027
C. Borges,Alajuelense,"rcmf, rdmf",38,915,0.359,0.321,0.237
E. Aguilar,Herediano,"rcmf, rw, amf",34,1332,0.352,0.343,0.084
P. Fonseca,San Carlos,"rcb3, rb",27,625,0.348,0.318,0.165
M. Villalobos Vega,Municipal Liberia,"lw, rcmf3, lcmf3",26,863,0.335,0.327,0.04
M. Torres,Deportivo Saprissa,"amf, rcmf",39,1511,0.332,0.324,0.084
J. Guadamúz,Municipal Liberia,"lb5, lb, lw",21,1471,0.318,0.268,0.464
R. Matarrita,Alajuelense,"lb, lwb",31,1638,0.314,0.315,-0.013
K. Villalobos Chavarría,Puntarenas,"lcb3, lb, lwf",30,972,0.311,0.284,0.134
R. Cole,Puntarenas,"rw, rwf, amf",27,759,0.31,0.294,0.101
C. Núñez,Cartaginés,"cf, amf, lcmf",28,1584,0.307,0.3,0.074
A. Guevara,San Carlos,"lw, lcmf3, lwf",37,688,0.306,0.287,0.102
L. Flores,Cartaginés,"rcmf, lcmf, ldmf",32,1668,0.305,0.254,0.591
R. Cordoba,San Carlos,"rcmf, lcmf, rcmf3",27,1387,0.304,0.309,-0.05
K. Vargas,Alajuelense,"lw, lamf, ramf",24,702,0.304,0.325,-0.127
G. Villalobos,Alajuelense,"lcb, rcb, cb",24,1357,0.3,0.247,0.463
F. Coronado,Sporting San José,"rcmf, dmf, rdmf",24,814,0.297,0.226,0.418
J. Venegas,Guadalupe,"rw, rwb, rb5",38,1316,0.294,0.288,0.058
D. López,Cartaginés,"rcmf, lcmf, cf",27,1412,0.291,0.28,0.107
D. Araya,Herediano,"lb, lb5, lw",25,1475,0.284,0.278,0.057
M. Angulo,Guadalupe,"lcmf, rcmf, ldmf",39,1535,0.281,0.303,-0.254
A. Soto,Sporting San José,"lcb, lcb3",34,1520,0.279,0.218,0.751
J. Ruiz,Guadalupe,"cf, amf",32,983,0.276,0.285,-0.065
R. Rivera,San Carlos,"rcb3, rb, rwb",27,1108,0.274,0.295,-0.143
D. Rodríguez,Alajuelense,"cf, rw, ramf",23,971,0.262,0.27,-0.058
R. Bolaños,Deportivo Saprissa,lb,27,996,0.26,0.273,-0.106
Tomás Rodriguez,Deportivo Saprissa,cf,27,1327,0.258,0.247,0.119
G. Montes,Herediano,"rcb, rcb3, cb",29,784,0.257,0.218,0.243
K. Gómez,Puntarenas,"rb5, rwb, rb",26,1434,0.255,0.229,0.202
J. Méndez,Sporting San José,"cf, lw",24,1551,0.245,0.239,0.086
O. Sinclair,Deportivo Saprissa,"cf, lcmf",28,600,0.245,0.219,0.136
E. Morales,Guadalupe,"lw, rw, lamf",26,985,0.243,0.247,-0.025
K. Waston,Deportivo Saprissa,"lcb, rcb",38,1774,0.243,0.198,0.621
W. Fernández,Pérez Zeledón,"rcb, lcb",32,1726,0.239,0.191,0.556
A. Matarrita,Deportivo Saprissa,"dmf, lcb3, rb",21,563,0.234,0.163,0.378
G. Torres,Deportivo Saprissa,"rw, ramf",28,708,0.23,0.219,0.06
S. van der Putten,Alajuelense,"rcb, cb",21,730,0.227,0.144,0.214
C. Barahona,Cartaginés,rb,23,1131,0.227,0.213,0.126
R. Ramírez,Municipal Liberia,"lw, lcmf3, cf",22,699,0.226,0.162,0.298
S. Zúñiga,Cartaginés,"lb, rw",29,1683,0.226,0.176,0.643
J. Rubio,Cartaginés,"lcb, lcb3",29,1619,0.224,0.196,0.342
M. George,Sporting San José,cf,32,978,0.221,0.249,-0.247
L. Hernández,Pérez Zeledón,"lb, lb5",28,1554,0.22,0.265,-0.493
F. Faerrón,Cartaginés,lcb,25,1025,0.219,0.205,0.113
R. Leal,Herediano,"lw, rw, amf",29,728,0.217,0.192,0.104
J. Azofeifa,Deportivo Saprissa,lb,25,1306,0.216,0.194,0.185
Bancy Hernández,Deportivo Saprissa,"lw, ramf, lamf",25,1389,0.213,0.195,0.209
C. Martínez,San Carlos,"lcmf, dmf, cb",32,1415,0.213,0.172,0.424
H. Muñoz,Puntarenas,"rcb3, rcb, rb",31,1490,0.212,0.188,0.243
A. Hernández,Alajuelense,"rw, ramf, lcmf",24,905,0.207,0.186,0.111
K. Guzmán,Guadalupe,"rcb, rcb3",29,1361,0.206,0.184,0.206
A. Soto,San Carlos,"lw, cf, lcmf",23,1575,0.206,0.201,0.05
E. Pastrana,Pérez Zeledón,lcb,26,1492,0.202,0.135,0.57
K. Gutiérrez,Puntarenas,"cb, rcb, rcb3",36,628,0.2,0.135,0.35
H. Quirós,Herediano,"rb, rb5",27,1236,0.197,0.178,0.204
J. Huertas,Municipal Liberia,"cb, rcb, rb",31,1117,0.196,0.112,0.476
J. Valverde,Sporting San José,"rb, rb5, rw",30,762,0.194,0.178,0.102
L. Moreira,Sporting San José,gk,36,1646,0.193,0.118,0.94
R. Blanco,Deportivo Saprissa,rb,37,777,0.193,0.17,0.139
I. Gómez,Puntarenas,"lwb, lb5, lb",27,1560,0.189,0.199,-0.099
Á. Zaldívar,Alajuelense,"cf, amf, rw",32,885,0.189,0.187,0.01
S. Johnson,Herediano,"rb5, rb, rw",23,1462,0.188,0.183,0.047
A. Madriz,Deportivo Saprissa,gk,22,1774,0.187,0.098,1.221
M. González,San Carlos,gk,29,1547,0.186,0.169,0.169
A. Pineda,Puntarenas,gk,29,1709,0.184,0.098,1.018
S. Rodríguez,Herediano,"dmf, rcb3, lcmf",30,1585,0.183,0.161,0.271
W. Ortega,Alajuelense,gk,31,1452,0.178,0.075,1.067
K. Briceño,Cartaginés,gk,34,1867,0.177,0.131,0.634
D. Mesén,Cartaginés,rcb,27,1324,0.177,0.142,0.297
R. Miranda,Guadalupe,"cb, lcb, rcb",30,1575,0.175,0.089,1.021
W. Francis,Municipal Liberia,"lcb3, lb5, lb",35,1026,0.17,0.177,-0.04
A. Bran,Alajuelense,"lcmf, rcmf, ldmf",25,1606,0.165,0.121,0.534
J. Campbell,Alajuelense,"cf, rcmf, amf",33,616,0.162,0.148,0.051
A. Murillo,Herediano,"rcmf, lcmf, lcmf3",28,793,0.158,0.11,0.323
S. Lucumí,Alajuelense,"lw, cf, lamf",31,677,0.157,0.146,0.061
B. Alfaro,Cartaginés,"lcmf, rcmf, ldmf",29,589,0.153,0.132,0.107
M. Pereira,Pérez Zeledón,cf,21,1217,0.152,0.167,-0.132
K. Porras,Pérez Zeledón,lw,25,1063,0.152,0.138,0.1
J. Venegas,Cartaginés,"cf, amf",37,692,0.152,0.169,-0.097
B. Segura,Pérez Zeledón,gk,29,1156,0.152,0.094,0.404
B. Bonilla,Guadalupe,"rcmf, lb5, rdmf",29,741,0.15,0.119,0.172
Junior Maleck,Guadalupe,cf,27,823,0.149,0.157,-0.037
A. Monreal,Municipal Liberia,gk,31,1701,0.147,0.105,0.462
W. Decas,Puntarenas,"cb, lcb, lcb3",26,1505,0.146,0.181,-0.335
C. Pineda,Sporting San José,"lcmf, rcmf",28,965,0.145,0.076,0.51
Y. Hernández,Municipal Liberia,"lcmf, lcmf3, rcmf",30,904,0.145,0.205,-0.369
C. Perez,Alajuelense,"lw, rw, rcmf",21,1149,0.144,0.128,0.122
D. Carvajal,Herediano,gk,37,1642,0.142,0.114,0.338
R. Leal,Guadalupe,gk,24,1025,0.142,0.083,0.397
R. Parkins,Alajuelense,"dmf, lcmf, ldmf",25,998,0.139,0.079,0.374
G. González,Sporting San José,"rcb, cb",38,1568,0.139,0.081,0.673
M. Pereira,Cartaginés,"lcb, rcb",31,1408,0.139,0.147,-0.081
Manuel Moran,Pérez Zeledón,"rw, cf",28,1528,0.137,0.127,0.11
A. Sinclair,Puntarenas,"rcmf, lcmf, rdmf",26,732,0.135,0.081,0.189
Y. Piedra,San Carlos,"lcb3, lcb",32,936,0.126,0.1,0.167
G. Taylor,Deportivo Saprissa,"rb, dmf",25,1525,0.123,0.122,0.011
Alejandro Porras,Pérez Zeledón,"rcmf, lcmf, rdmf",30,739,0.121,0.083,0.195
Y. Salinas,Sporting San José,"rb, rcb3, rb5",27,891,0.121,0.121,0.003
G. Castillo,San Carlos,"lb, lb5, lwb",24,1368,0.116,0.106,0.105
F. Piñar,Alajuelense,rb,24,1094,0.113,0.134,-0.169
E. Torres,Municipal Liberia,cf,33,1121,0.11,0.087,0.142
J. Delgado,Guadalupe,gk,32,711,0.107,0.106,0.006
K. Brown,Herediano,"rcb, cb, lcb",34,1232,0.105,0.069,0.332
A. Gamboa,Alajuelense,"lcb, lcb3",27,737,0.102,0.136,-0.254
A. Hudson,Municipal Liberia,"rw, rb5, cf",20,991,0.101,0.104,-0.023
A. Cruz,Herediano,"lcmf, rcmf, cf",30,1003,0.096,0.068,0.211
A. Salazar,Alajuelense,"rcb, rcb3, rb",27,1451,0.095,0.098,-0.022
R. Rodríguez,Pérez Zeledón,"rcb, rb",23,930,0.09,0.068,0.163
S. Taylor,Deportivo Saprissa,"rb, rb5",22,1634,0.08,0.068,0.146
E. Drummond Arroyo,Pérez Zeledón,"lcmf, dmf, rcmf",20,903,0.079,0.052,0.168
L. Díaz,Sporting San José,"rw, rcmf3",27,979,0.079,0.054,0.198
U. Segura,Puntarenas,"lcmf, rcmf, amf",32,1389,0.078,0.068,0.085
L. Ayala,Guadalupe,"lcb, lcb3, lcmf",28,642,0.078,0.077,0.009
K. Fajardo,Guadalupe,"lcb3, lcb",36,714,0.078,0.122,-0.258
J. Agüero,San Carlos,"cb, lcb, rcb",32,1748,0.077,0.094,-0.212
K. Espinoza,Sporting San José,"rcb3, rcb",29,561,0.074,0.15,-0.363
M. Ajú,Pérez Zeledón,gk,26,598,0.071,0.064,0.032
K. Cerdas,San Carlos,"cf, rcmf, lw",30,908,0.071,0.054,0.105
J. Mora,Deportivo Saprissa,"lb, lwb",33,555,0.071,0.067,0.023
Y. Molina,Municipal Liberia,"rcb3, rcb",30,1544,0.068,0.056,0.128
J. Mora,Cartaginés,"lw, lamf, ramf",22,833,0.066,0.072,-0.034
G. Sibaja Pérez,Herediano,"rw, lw",17,616,0.065,0.061,0.012
A. Amador,Guadalupe,"lw, rw, lamf",25,893,0.061,0.072,-0.071
G. Méndez,Guadalupe,"lb, lb5",34,1666,0.06,0.117,-0.729
R. Carballo,Puntarenas,cf,30,1212,0.059,0.056,0.014
S. Acuña,Deportivo Saprissa,"rdmf, dmf, rcmf",23,788,0.055,0.026,0.22
C. Reyes,Municipal Liberia,"lcb, lcb3, rcb3",30,1459,0.054,0.093,-0.403
J. Aguirre,Pérez Zeledón,"lcmf, rcmf, dmf",35,905,0.049,0.035,0.1
R. Taylor,Puntarenas,"lw, lamf, ramf",28,881,0.048,0.028,0.11
Claudio Montero,Cartaginés,"rw, cf, ramf",20,567,0.045,0.014,0.135
D. Masis,San Carlos,"lb5, lb, lwb",21,534,0.039,0.017,0.062
M. Ureña,Cartaginés,"cf, amf",36,676,0.017,0.009,0.038
D. Colindres,Puntarenas,"lwf, cf, lw",41,921,0.017,0.014,0.021
P. Arboine,Deportivo Saprissa,rcb,28,1628,0.015,0.079,-0.779
B. Martínez,San Carlos,cf,29,907,0.008,0.025,-0.107
K. Fuller,Municipal Liberia,"rb, rw, rb5",31,857,-0.019,-0.055,0.215
T. Demetrius,Alajuelense,"cf, lw, rw",21,862,-0.071,-0.057,-0.101
J. Leiva,Puntarenas,"rcmf, rdmf",33,600,-0.078,0.032,-0.385
J. Brenes,Deportivo Saprissa,"lcmf, ldmf",29,900,-0.084,0.022,-0.63
D. Ramírez Bolaños,Sporting San José,"lw, rw, cf",21,666,-0.117,-0.094,-0.1
R. Márquez,Cartaginés,cf,28,954,-0.149,-0.057,-0.657
J. Navarro,Sporting San José,"cf, lw",27,817,-0.161,-0.149,-0.074
