jugador(a),Equipo,Minutos disputados,Posiciones,Edad,Pases recibidos p90,Pivoteos p90,Pérdidas p90,Toques en el área p90
C. Borges,Alajuelense,915,"rcmf, rdmf",38,41.41,0,12.49,0.59
E. Aguilar,Herediano,1332,"rcmf, rw, amf",34,39.53,0.41,10.41,0.27
A. Guevara,San Carlos,688,"lw, lcmf3, lwf",37,36.76,0.39,8.76,1.57
Al. López,Sporting San José,1262,"rcmf, lcmf, lcmf3",33,35.73,0,10.13,0.43
R. Cordoba,San Carlos,1387,"rcmf, lcmf, rcmf3",27,34.97,0,12.33,0.32
A. Bran,Alajuelense,1606,"lcmf, rcmf, ldmf",25,32.67,0,8.91,0.34
J. Campbell,Alajuelense,616,"cf, rcmf, amf",33,31.27,3.07,10.37,2.19
U. Segura,Puntarenas,1389,"lcmf, rcmf, amf",32,30.78,0.26,11.34,0.58
S. Rodríguez,Herediano,1585,"dmf, rcb3, lcmf",30,30.32,0,8.12,0.51
M. Torres,Deportivo Saprissa,1511,"amf, rcmf",39,30.14,0.06,11.38,0.83
R. Leal,Herediano,728,"lw, rw, amf",29,29.92,0.49,12.12,3.21
P. Fonseca,San Carlos,625,"rcb3, rb",27,29.66,0,9.79,0.58
J. Rubio,Herediano,1619,"lcb, lcb3",29,29.46,0,11.95,0.56
C. Martínez,San Carlos,1415,"lcmf, dmf, cb",32,29.45,0,8.08,0.32
A. Soto,Sporting San José,1520,"lcb, lcb3",34,29.31,0,9.18,0.18
R. Rivera,San Carlos,1108,"rcb3, rb, rwb",27,29.24,0,13.08,0.73
J. Brenes,Deportivo Saprissa,900,"lcmf, ldmf",29,29.2,0,9.9,1.5
J. Agüero,San Carlos,1748,"cb, lcb, rcb",32,29.14,0,7.26,0.51
A. Gamboa,Alajuelense,737,"lcb, lcb3",27,28.58,0,10.5,0.98
R. Araya,Herediano,689,"lw, lamf",26,28.35,1.04,10.58,3
A. Sinclair,Puntarenas,732,"rcmf, lcmf, rdmf",26,28.16,0,11.31,0.61
Y. Hernández,Municipal Liberia,904,"lcmf, lcmf3, rcmf",30,27.88,0,9.66,1
H. Quirós,Herediano,1236,"rb, rb5",27,27.6,0,12.67,2.04
G. Montes,Herediano,784,"rcb, rcb3, cb",29,26.98,0,8.04,0.57
K. Gutiérrez,Puntarenas,628,"cb, rcb, rcb3",36,26.8,0,6.45,0.29
A. Salazar,Alajuelense,1451,"rcb, rcb3, rb",27,26.67,0,9.3,0.68
G. Villalobos,Alajuelense,1357,"lcb, rcb, cb",24,26.6,0,9.09,0.6
L. Flores,Cartaginés,1668,"rcmf, lcmf, ldmf",32,26.38,0,8.53,0.16
D. López,Cartaginés,1412,"rcmf, lcmf, cf",27,26.07,0.45,11.73,1.53
J. Rivera Stuart,Pérez Zeledón,1115,"rb, rb5",29,25.91,0,10.98,0.89
G. Castillo,San Carlos,1368,"lb, lb5, lwb",24,25.86,0,11.38,0.66
S. Johnson,Municipal Liberia,1462,"rb5, rb, rw",23,25.79,0,10.1,0.8
R. Parkins,Alajuelense,998,"dmf, lcmf, ldmf",25,25.61,0,8.66,0.36
R. Matarrita,Alajuelense,1638,"lb, lwb",31,25.44,0,11.7,0.66
K. Gómez,Puntarenas,1434,"rb5, rwb, rb",26,24.85,0.06,11.3,2.38
B. Alfaro,Cartaginés,589,"lcmf, rcmf, ldmf",29,24.75,0,9.93,1.07
G. González,Sporting San José,1568,"rcb, cb",38,24.68,0,8.27,0.92
Y. Piedra,San Carlos,936,"lcb3, lcb",32,24.62,0,7.79,0.38
C. Barahona,Cartaginés,1131,rb,23,24.59,0,12.18,1.19
D. Araya,Herediano,1475,"lb, lb5, lw",25,24.1,0,11.9,1.46
F. Faerrón,Cartaginés,1025,lcb,25,23.97,0,7.55,0.53
D. Masis,San Carlos,534,"lb5, lb, lwb",21,23.76,0,13.48,0.51
K. Cerdas,San Carlos,908,"cf, rcmf, lw",30,23.59,0.59,12.19,1.39
M. Pereira,Cartaginés,1408,"lcb, rcb",31,23.46,0,6.65,0.58
S. Zúñiga,Cartaginés,1683,"lb, rw",29,23.42,0.05,11.66,0.8
H. Muñoz,Puntarenas,1490,"rcb3, rcb, rb",31,23.38,0,9.3,0.66
D. González,Cartaginés,833,lb,30,23.34,0,12.53,1.19
M. Angulo,Guadalupe,1535,"lcmf, rcmf, ldmf",39,23.16,0.29,11.43,0.29
D. Guzmán,Deportivo Saprissa,922,"ldmf, dmf, rcmf",36,23.13,0,8.3,0.78
J. Leiva,Puntarenas,600,"rcmf, rdmf",33,22.35,0,7.2,1.2
K. Villalobos Chavarría,Puntarenas,972,"lcb3, lb, lwf",30,22.31,0.74,12.5,0.93
A. Cruz,Herediano,1003,"lcmf, rcmf, cf",30,22.07,0,10.77,2.42
S. van der Putten,Alajuelense,730,"rcb, cb",21,22.07,0,8.26,0.12
J. Venegas,San Carlos,1316,"rw, rwb, rb5",38,21.82,0.34,11.35,1.5
F. Khatami,Puntarenas,1385,"lcb3, lcmf, lcb",21,21.7,0,7.08,0.78
B. Sequeira,Municipal Liberia,688,"rb, rw",28,21.45,1.44,9.94,1.31
J. Guadamúz,Municipal Liberia,1471,"lb5, lb, lw",21,21.41,0.06,12.3,1.41
J. Hernández,Municipal Liberia,976,"cf, lw",32,21.39,1.38,16.51,3.32
B. Bonilla,Guadalupe,741,"rcmf, lb5, rdmf",29,21.38,0,7.17,0.12
J. Valverde,Sporting San José,762,"rb, rb5, rw",30,21.26,0,14.06,1.3
A. Murillo,Herediano,793,"rcmf, lcmf, lcmf3",28,21.22,0,10.44,1.25
K. Waston,Deportivo Saprissa,1774,"lcb, rcb",38,21.05,0,8.83,1.78
S. Lucumí,Alajuelense,677,"lw, cf, lamf",31,21,1.46,9.17,1.73
W. Decas,Puntarenas,1505,"cb, lcb, lcb3",26,20.93,0,6.76,0.6
Y. Salinas,Sporting San José,891,"rb, rcb3, rb5",27,20.91,0,10.3,0.81
I. Gómez,Puntarenas,1560,"lwb, lb5, lb",27,20.88,0,11.48,1.85
R. Bolaños,Sporting San José,996,lb,27,20.69,0,14.46,0.63
G. Castro,Cartaginés,567,"ramf, rw, cf",24,20.16,0.32,11.9,3.65
C. Pineda,Sporting San José,965,"lcmf, rcmf",28,20.15,0,8.95,0
W. Fernández,Pérez Zeledón,1726,"rcb, lcb",32,19.81,0,7.46,0.16
