jugador(a),Equipo,Minutos disputados,Posiciones,Edad,Duelos aéreos ganados p90,Remates de cabeza p90,Ganancia de duelos aéreos de campo ganados
F. Lesme,Municipal Liberia,549,cf,24,5.74,1.15,57.38
K. Waston,Deportivo Saprissa,1774,"lcb, rcb",38,4.92,0.91,74.62
O. Sinclair,Deportivo Saprissa,600,"cf, lcmf",28,4.5,0.75,46.15
B. Martínez,San Carlos,907,cf,29,4.07,0.79,56.16
G. González,Sporting San José,1568,"rcb, cb",38,3.9,0.69,68
K. Fajardo,Guadalupe,714,"lcb3, lcb",36,3.66,0.13,65.91
J. Navarro,Sporting San José,817,"cf, lw",27,3.64,0.55,50.77
K. Guzmán,Guadalupe,1361,"rcb, rcb3",29,3.5,0.4,53
R. Carballo,Puntarenas,1212,cf,30,3.49,0.45,35.88
M. Hernández,Herediano,1278,cf,36,3.45,1.06,38.58
Y. Molina,Municipal Liberia,1544,"rcb3, rcb",30,3.32,0.23,59.38
Manuel Moran,Pérez Zeledón,1528,"rw, cf",28,3.3,0.18,41.18
C. Borges,Alajuelense,915,"rcmf, rdmf",38,3.25,0.2,57.89
F. Coronado,Sporting San José,814,"rcmf, dmf, rdmf",24,3.21,0.22,54.72
S. van der Putten,Alajuelense,730,"rcb, cb",21,3.08,0.12,67.57
G. Montes,Herediano,784,"rcb, rcb3, cb",29,2.98,0.23,61.9
R. Bolaños,Sporting San José,996,lb,27,2.98,0.45,52.38
L. Ayala,Guadalupe,642,"lcb, lcb3, lcmf",28,2.94,0,47.73
W. Decas,Puntarenas,1505,"cb, lcb, lcb3",26,2.87,0.12,60.76
R. Miranda,Guadalupe,1575,"cb, lcb, rcb",30,2.86,0.11,57.47
J. Rubio,Herediano,1619,"lcb, lcb3",29,2.84,0.28,70.83
A. Gamboa,Alajuelense,737,"lcb, lcb3",27,2.81,0.49,47.92
E. Torres,Municipal Liberia,1121,cf,33,2.81,0.4,36.84
Y. Piedra,San Carlos,936,"lcb3, lcb",32,2.6,0.19,64.29
K. Gutiérrez,Puntarenas,628,"cb, rcb, rcb3",36,2.58,0.29,50
W. Francis,Municipal Liberia,1026,"lcb3, lb5, lb",35,2.54,0,53.7
M. George,Sporting San José,978,cf,32,2.48,0,35.53
A. Sinclair,Puntarenas,732,"rcmf, lcmf, rdmf",26,2.34,0,55.88
D. Rodríguez,Puntarenas,971,"cf, rw, ramf",23,2.32,0.65,40.32
G. Villalobos,Alajuelense,1357,"lcb, rcb, cb",24,2.32,0.2,48.61
A. Salazar,Alajuelense,1451,"rcb, rcb3, rb",27,2.29,0.37,50
D. Mesén,Cartaginés,1324,rcb,27,2.24,0.14,67.35
Tomás Rodriguez,Deportivo Saprissa,1327,cf,27,2.24,0.27,33.67
Junior Maleck,Guadalupe,823,cf,27,2.19,0.11,37.04
J. Leiva,Puntarenas,600,"rcmf, rdmf",33,2.1,0.15,58.33
P. Arboine,Deportivo Saprissa,1628,rcb,28,2.1,0.28,48.72
J. Aguirre,Pérez Zeledón,905,"lcmf, rcmf, dmf",35,2.09,0.3,37.5
S. Taylor,Deportivo Saprissa,1634,"rb, rb5",22,2.09,0,63.33
A. Soto,San Carlos,1575,"lw, cf, lcmf",23,2.06,0.29,38.3
J. Agüero,San Carlos,1748,"cb, lcb, rcb",32,2.06,0.15,68.97
M. Pereira,Cartaginés,1408,"lcb, rcb",31,2.05,0.13,54.24
C. Reyes,Municipal Liberia,1459,"lcb, lcb3, rcb3",30,1.97,0.12,47.06
R. Rivera,San Carlos,1108,"rcb3, rb, rwb",27,1.95,0.16,51.06
D. González,Cartaginés,833,lb,30,1.94,0,48.65
R. Rodríguez,Pérez Zeledón,930,"rcb, rb",23,1.94,0.39,38.46
J. Méndez,Sporting San José,1551,"cf, lw",24,1.91,0.17,37.5
C. Martínez,San Carlos,1415,"lcmf, dmf, cb",32,1.91,0.13,50
F. Piñar,Alajuelense,1094,rb,24,1.89,0.58,53.49
A. Soto,Sporting San José,1520,"lcb, lcb3",34,1.89,0,69.57
A. Bran,Alajuelense,1606,"lcmf, rcmf, ldmf",25,1.85,0,64.71
