jugador(a),Equipo,Minutos disputados,Posiciones,Edad,Pases precisos p90,Pases precisos al tercio final p90,Pases largos precisos p90,Pases precisos hacia adelante p90,Precisión de pase
C. Borges,Alajuelense,915,"rcmf, rdmf",38,48.89,8.26,3.15,17.21,84.52
E. Aguilar,Herediano,1332,"rcmf, rw, amf",34,46.55,9.59,5.47,13.92,86.89
A. Guevara,San Carlos,688,"lw, lcmf3, lwf",37,43.43,5.1,1.44,10.33,89.73
Al. López,Sporting San José,1262,"rcmf, lcmf, lcmf3",33,43,7.56,4.78,12.41,83.06
A. Gamboa,Alajuelense,737,"lcb, lcb3",27,42.62,6.72,3.91,17.95,86.6
A. Sinclair,Puntarenas,732,"rcmf, lcmf, rdmf",26,39.84,5.9,2.09,11.93,83.94
A. Soto,Sporting San José,1520,"lcb, lcb3",34,39.73,6.99,5.51,18.59,82.84
S. Rodríguez,Herediano,1585,"dmf, rcb3, lcmf",30,39.69,6.13,3.58,13.29,85.98
J. Agüero,San Carlos,1748,"cb, lcb, rcb",32,38.98,2.32,3.5,11.17,87.41
R. Cordoba,San Carlos,1387,"rcmf, lcmf, rcmf3",27,38.02,6.16,3.24,9.47,79.51
A. Bran,Alajuelense,1606,"lcmf, rcmf, ldmf",25,38,5.88,2.13,10.82,87.6
J. Rubio,Herediano,1619,"lcb, lcb3",29,37.8,5.56,4.22,16.68,81.34
G. Montes,Herediano,784,"rcb, rcb3, cb",29,37.65,2.76,2.76,11.82,88.17
C. Martínez,San Carlos,1415,"lcmf, dmf, cb",32,37.21,4.2,2.86,9.29,85.53
Y. Hernández,Municipal Liberia,904,"lcmf, lcmf3, rcmf",30,36.34,4.58,1.99,9.86,84.88
U. Segura,Puntarenas,1389,"lcmf, rcmf, amf",32,36.09,6.93,2.79,10.63,81.08
P. Fonseca,San Carlos,625,"rcb3, rb",27,35.86,5.47,3.46,16.13,80.84
K. Gutiérrez,Puntarenas,628,"cb, rcb, rcb3",36,35.83,3.87,4.01,12.32,87.72
L. Flores,Cartaginés,1668,"rcmf, lcmf, ldmf",32,35.67,6.58,3.13,11.71,83.04
M. Torres,Deportivo Saprissa,1511,"amf, rcmf",39,34.55,8.28,3.69,13.16,80
G. Villalobos,Alajuelense,1357,"lcb, rcb, cb",24,34.16,3.45,2.52,14.79,84.43
G. González,Sporting San José,1568,"rcb, cb",38,33.64,3.96,3.56,12.28,85.42
J. Brenes,Deportivo Saprissa,900,"lcmf, ldmf",29,33.5,5.6,2,9.2,86.79
J. Leiva,Puntarenas,600,"rcmf, rdmf",33,33.3,4.65,1.35,10.95,87.4
W. Decas,Puntarenas,1505,"cb, lcb, lcb3",26,32.95,3.71,3.65,13.04,86.64
R. Rivera,San Carlos,1108,"rcb3, rb, rwb",27,32.65,4.39,5.2,15.51,79.6
D. López,Cartaginés,1412,"rcmf, lcmf, cf",27,32.19,5.8,2.23,8.8,81.06
R. Leal,Herediano,728,"lw, rw, amf",29,32.02,3.59,1.36,8.41,79.2
Y. Piedra,San Carlos,936,"lcb3, lcb",32,31.92,2.12,2.69,12.98,84.91
M. Pereira,Cartaginés,1408,"lcb, rcb",31,31.83,3.84,1.92,11.38,88.61
F. Faerrón,Cartaginés,1025,lcb,25,31.7,5.18,3.95,15.01,84.74
J. Campbell,Alajuelense,616,"cf, rcmf, amf",33,31.41,4.53,1.75,8.04,84.31
B. Alfaro,Cartaginés,589,"lcmf, rcmf, ldmf",29,31.02,4.74,2.29,8.1,80.56
A. Salazar,Alajuelense,1451,"rcb, rcb3, rb",27,31.01,3.23,1.98,11.1,80.65
D. Guzmán,Deportivo Saprissa,922,"ldmf, dmf, rcmf",36,30.75,4.88,3.03,8.1,83.78
S. van der Putten,Alajuelense,730,"rcb, cb",21,30.7,1.73,2.34,13.93,84.69
R. Araya,Herediano,689,"lw, lamf",26,30.44,3.4,1.96,8.88,84.73
G. Castillo,San Carlos,1368,"lb, lb5, lwb",24,30,3.42,2.17,6.64,78.76
R. Parkins,Alajuelense,998,"dmf, lcmf, ldmf",25,29.58,3.61,1.53,7.94,82.41
K. Waston,Deportivo Saprissa,1774,"lcb, rcb",38,29.43,3.35,3.25,14.15,83.94
F. Khatami,Puntarenas,1385,"lcb3, lcmf, lcb",21,29.05,5.39,4.29,12.28,83.24
H. Quirós,Herediano,1236,"rb, rb5",27,28.83,2.77,1.67,8.08,74.44
E. Pastrana,Pérez Zeledón,1492,lcb,26,28.77,4.46,5.49,15.56,80.57
H. Muñoz,Puntarenas,1490,"rcb3, rcb, rb",31,28.27,3.93,2.11,13.95,80.41
C. Pineda,Sporting San José,965,"lcmf, rcmf",28,28.17,3.82,1.77,8.67,81.62
K. Cerdas,San Carlos,908,"cf, rcmf, lw",30,28.15,3.96,2.48,4.96,80.68
B. Bonilla,Guadalupe,741,"rcmf, lb5, rdmf",29,27.94,4.37,1.34,9.11,84.56
J. Rivera Stuart,Pérez Zeledón,1115,"rb, rb5",29,27.85,2.91,1.53,9.61,78.23
R. Matarrita,Alajuelense,1638,"lb, lwb",31,27.58,3.9,2.8,10.38,74.04
D. Mesén,Cartaginés,1324,rcb,27,27.46,2.31,1.63,9.92,88.79
