jugador(a),Equipo,Minutos disputados,Posiciones,Edad,Atajadas p90,Ganancia de duelos aéreos de portero,Salidas p90,Efectividad de atajadas
R. Leal,Guadalupe,1025,gk,24,3.95,84.62,2.55,71.43
M. Ajú,Pérez Zeledón,598,gk,26,3.46,100,2.26,69.7
A. Monreal,Municipal Liberia,1701,gk,31,3.17,83.33,2.38,76.92
W. Ortega,Alajuelense,1452,gk,31,2.85,0,1.49,74.19
B. Segura,Pérez Zeledón,1156,gk,29,2.8,75,2.65,67.92
A. Pineda,Puntarenas,1709,gk,29,2.74,80,1.58,65
D. Carvajal,Herediano,1642,gk,37,2.69,50,0.49,83.05
L. Moreira,Sporting San José,1646,gk,36,2.68,100,1.7,74.24
K. Briceño,Cartaginés,1867,gk,34,2.6,90.48,2.41,72.97
J. Delgado,Guadalupe,711,gk,32,2.53,75,2.28,52.63
A. Madriz,Deportivo Saprissa,1774,gk,22,2.44,100,1.01,72.73
M. González,San Carlos,1547,gk,29,2.39,62.5,1.92,66.13
G. Torres,Deportivo Saprissa,708,"rw, ramf",28,0,0,0,0
E. Aguilar,Herediano,1332,"rcmf, rw, amf",34,0,0,0,0
C. Martínez,San Carlos,1415,"lcmf, dmf, cb",32,0,0,0,0
J. Valverde,Sporting San José,762,"rb, rb5, rw",30,0,0,0,0
B. Alfaro,Cartaginés,589,"lcmf, rcmf, ldmf",29,0,0,0,0
U. Segura,Puntarenas,1389,"lcmf, rcmf, amf",32,0,0,0,0
A. Cruz,Herediano,1003,"lcmf, rcmf, cf",30,0,0,0,0
K. Cerdas,San Carlos,908,"cf, rcmf, lw",30,0,0,0,0
J. Venegas,San Carlos,1316,"rw, rwb, rb5",38,0,0,0,0
R. Cisneros,Alajuelense,1412,cf,29,0,0,0,0
S. Zúñiga,Cartaginés,1683,"lb, rw",29,0,0,0,0
J. Gaete,Cartaginés,737,"lw, rw, lamf",29,0,0,0,0
E. Drummond Arroyo,Pérez Zeledón,903,"lcmf, dmf, rcmf",20,0,0,0,0
J. Rubio,Herediano,1619,"lcb, lcb3",29,0,0,0,0
M. Pereira,Cartaginés,1408,"lcb, rcb",31,0,0,0,0
D. Mesén,Cartaginés,1324,rcb,27,0,0,0,0
Y. Hernández,Municipal Liberia,904,"lcmf, lcmf3, rcmf",30,0,0,0,0
L. Ayala,Guadalupe,642,"lcb, lcb3, lcmf",28,0,0,0,0
K. Espinoza,Sporting San José,561,"rcb3, rcb",29,0,0,0,0
B. Sequeira,Municipal Liberia,688,"rb, rw",28,0,0,0,0
A. Murillo,Herediano,793,"rcmf, lcmf, lcmf3",28,0,0,0,0
R. Cordoba,San Carlos,1387,"rcmf, lcmf, rcmf3",27,0,0,0,0
L. Hernández,Pérez Zeledón,1554,"lb, lb5",28,0,0,0,0
J. Agüero,San Carlos,1748,"cb, lcb, rcb",32,0,0,0,0
P. Arboine,Deportivo Saprissa,1628,rcb,28,0,0,0,0
W. Decas,Puntarenas,1505,"cb, lcb, lcb3",26,0,0,0,0
G. Montes,Herediano,784,"rcb, rcb3, cb",29,0,0,0,0
G. Méndez,Guadalupe,1666,"lb, lb5",34,0,0,0,0
Y. Salinas,Sporting San José,891,"rb, rcb3, rb5",27,0,0,0,0
C. Reyes,Municipal Liberia,1459,"lcb, lcb3, rcb3",30,0,0,0,0
Á. Zaldívar,Alajuelense,885,"cf, amf, rw",32,0,0,0,0
