jugador(a),Equipo,Minutos disputados,Posiciones,Edad,Recuperaciones peligrosas en campo rival p90,Acciones defensivas exitosas p90,Recuperaciones por contrapresión p90
J. Brenes,Deportivo Saprissa,900,"lcmf, ldmf",29,1.3,5.8,3.6
D. Colindres,Puntarenas,921,"lwf, cf, lw",41,0.98,2.54,2.15
G. Castro,Cartaginés,567,"ramf, rw, cf",24,0.95,6.67,3.17
S. Lucumí,Alajuelense,677,"lw, cf, lamf",31,0.93,5.98,2.53
D. López,Cartaginés,1412,"rcmf, lcmf, cf",27,0.83,9.94,6.18
S. Acuña,Deportivo Saprissa,788,"rdmf, dmf, rcmf",23,0.8,9.02,5.71
A. Matarrita,Deportivo Saprissa,563,"dmf, lcb3, rb",21,0.8,11.67,6.55
D. Guzmán,Deportivo Saprissa,922,"ldmf, dmf, rcmf",36,0.78,6.64,5.27
Tomás Rodriguez,Deportivo Saprissa,1327,cf,27,0.75,3.59,1.56
J. Gaete,Cartaginés,737,"lw, rw, lamf",29,0.73,4.64,1.83
M. Torres,Deportivo Saprissa,1511,"amf, rcmf",39,0.71,3.93,2.8
M. Angulo,Guadalupe,1535,"lcmf, rcmf, ldmf",39,0.7,6.98,5.39
E. Aguilar,Herediano,1332,"rcmf, rw, amf",34,0.68,5.88,3.51
J. Hernández,Municipal Liberia,976,"cf, lw",32,0.65,5.44,2.49
B. Sequeira,Municipal Liberia,688,"rb, rw",28,0.65,5.49,2.09
G. Torres,Deportivo Saprissa,708,"rw, ramf",28,0.64,8.26,3.18
E. Morales,Guadalupe,985,"lw, rw, lamf",26,0.64,6.4,2.92
Al. López,Sporting San José,1262,"rcmf, lcmf, lcmf3",33,0.64,3.92,3.71
C. Núñez,Cartaginés,1584,"cf, amf, lcmf",28,0.63,6.31,3.07
R. Taylor,Puntarenas,881,"lw, lamf, ramf",28,0.61,4.9,1.94
J. Leiva,Puntarenas,600,"rcmf, rdmf",33,0.6,10.8,10.2
Bancy Hernández,Deportivo Saprissa,1389,"lw, ramf, lamf",25,0.58,5.57,2.46
L. Ayala,Guadalupe,642,"lcb, lcb3, lcmf",28,0.56,9.25,4.49
L. Paradela,Deportivo Saprissa,1132,"lw, lamf, ramf",29,0.56,8.19,3.58
F. Coronado,Sporting San José,814,"rcmf, dmf, rdmf",24,0.55,11.39,6.86
Junior Maleck,Guadalupe,823,cf,27,0.55,2.62,1.64
M. Ureña,Sporting San José,676,"cf, amf",36,0.53,2.93,1.07
S. Zúñiga,Cartaginés,1683,"lb, rw",29,0.53,5.99,3.37
Manuel Moran,Pérez Zeledón,1528,"rw, cf",28,0.53,4.65,2.18
T. Demetrius,Guadalupe,862,"cf, lw, rw",21,0.52,5.22,3.03
M. Pereira,Pérez Zeledón,1217,cf,21,0.52,5.18,1.55
A. Guevara,San Carlos,688,"lw, lcmf3, lwf",37,0.52,3.53,1.83
R. Araya,Herediano,689,"lw, lamf",26,0.52,4.96,1.7
A. Amador,Guadalupe,893,"lw, rw, lamf",25,0.5,4.74,1.81
J. Aguirre,Pérez Zeledón,905,"lcmf, rcmf, dmf",35,0.5,7.46,5.07
A. Rodríguez,Deportivo Saprissa,538,cf,36,0.5,4.18,1.67
L. Flores,Cartaginés,1668,"rcmf, lcmf, ldmf",32,0.49,6.31,4.48
A. Sinclair,Puntarenas,732,"rcmf, lcmf, rdmf",26,0.49,9.84,7.5
B. Bonilla,Guadalupe,741,"rcmf, lb5, rdmf",29,0.49,9.11,3.04
G. Méndez,Guadalupe,1666,"lb, lb5",34,0.49,8.75,3.46
J. Azofeifa,Deportivo Saprissa,1306,lb,25,0.48,9.37,4.2
G. Taylor,Deportivo Saprissa,1525,"rb, dmf",25,0.47,11.27,4.54
C. Pineda,Sporting San José,965,"lcmf, rcmf",28,0.47,8.86,5.88
A. Soto,San Carlos,1575,"lw, cf, lcmf",23,0.46,8.11,3.49
J. Ruiz,Guadalupe,983,"cf, amf",32,0.46,3.39,1.74
K. Villalobos Chavarría,Puntarenas,972,"lcb3, lb, lwf",30,0.46,9.26,4.63
A. Bran,Alajuelense,1606,"lcmf, rcmf, ldmf",25,0.45,6.61,4.76
O. Sinclair,Deportivo Saprissa,600,"cf, lcmf",28,0.45,5.55,1.5
U. Segura,Puntarenas,1389,"lcmf, rcmf, amf",32,0.45,4.21,4.28
A. Murillo,Herediano,793,"rcmf, lcmf, lcmf3",28,0.45,8.74,4.09
F. Faerrón,Cartaginés,1025,lcb,25,0.44,6.23,3.78
J. Campbell,Alajuelense,616,"cf, rcmf, amf",33,0.44,5.41,2.05
J. Navarro,Sporting San José,817,"cf, lw",27,0.44,4.19,1.98
M. Villalobos Vega,Municipal Liberia,863,"lw, rcmf3, lcmf3",26,0.42,4.48,2.4
Á. Zaldívar,Alajuelense,885,"cf, amf, rw",32,0.41,6.41,2.14
D. Ramírez Bolaños,Sporting San José,666,"lw, rw, cf",21,0.41,6.08,2.84
S. Rodríguez,Herediano,1585,"dmf, rcb3, lcmf",30,0.4,6.98,6.13
K. Cerdas,San Carlos,908,"cf, rcmf, lw",30,0.4,6.84,2.97
J. Venegas,Cartaginés,692,"cf, amf",37,0.39,3.38,1.82
R. Ramírez,Municipal Liberia,699,"lw, lcmf3, cf",22,0.39,5.67,2.19
C. Borges,Alajuelense,915,"rcmf, rdmf",38,0.39,9.15,7.38
G. Castillo,San Carlos,1368,"lb, lb5, lwb",24,0.39,9.93,3.62
R. Cordoba,San Carlos,1387,"rcmf, lcmf, rcmf3",27,0.39,6.49,3.89
R. Cisneros,Alajuelense,1412,cf,29,0.38,2.36,1.34
R. Leal,Herediano,728,"lw, rw, amf",29,0.37,7.05,3.71
R. Carballo,Puntarenas,1212,cf,30,0.37,1.78,1.11
Alejandro Porras,Pérez Zeledón,739,"rcmf, lcmf, rdmf",30,0.37,9.26,2.56
K. Waston,Deportivo Saprissa,1774,"lcb, rcb",38,0.36,6.7,5.58
A. Cruz,Herediano,1003,"lcmf, rcmf, cf",30,0.36,7,2.78
J. Valverde,Sporting San José,762,"rb, rb5, rw",30,0.35,7.32,4.37
J. Méndez,Sporting San José,1551,"cf, lw",24,0.35,4.53,2.55
K. Porras,Pérez Zeledón,1063,lw,25,0.34,4.83,2.12
R. Matarrita,Alajuelense,1638,"lb, lwb",31,0.33,8.24,2.8
K. Fuller,Herediano,857,"rb, rw, rb5",31,0.32,7.35,3.15
Claudio Montero,Cartaginés,567,"rw, cf, ramf",20,0.32,3.65,3.17
J. Mora,Deportivo Saprissa,555,"lb, lwb",33,0.32,8.92,3.24
C. Perez,Alajuelense,1149,"lw, rw, rcmf",21,0.31,5.72,3.21
Y. Hernández,Municipal Liberia,904,"lcmf, lcmf3, rcmf",30,0.3,8.66,3.19
