jugador(a),Equipo,Minutos disputados,Posiciones,Edad,Pases progresivos precisos p90,Conducciones progresivas p90,Cambios de ritmo p90,xT
A. Soto,Sporting San José,1520,"lcb, lcb3",34,10.78,1.48,0,0.142
M. Torres,Deportivo Saprissa,1511,"amf, rcmf",39,9.65,1.25,0.06,0.166
E. Aguilar,Herediano,1332,"rcmf, rw, amf",34,9.46,2.3,0.2,0.165
R. Rivera,San Carlos,1108,"rcb3, rb, rwb",27,9.34,0.49,0.08,0.073
A. Gamboa,Alajuelense,737,"lcb, lcb3",27,9.16,0.98,0.12,0.134
C. Borges,Alajuelense,915,"rcmf, rdmf",38,8.85,1.48,0.1,0.054
Al. López,Sporting San José,1262,"rcmf, lcmf, lcmf3",33,8.84,0.93,0.07,0.078
R. Matarrita,Alajuelense,1638,"lb, lwb",31,8.35,0.93,0.16,0.213
J. Rubio,Herediano,1619,"lcb, lcb3",29,8.34,0.89,0,0.11
L. Flores,Cartaginés,1668,"rcmf, lcmf, ldmf",32,8.2,0.49,0.16,0.075
E. Pastrana,Pérez Zeledón,1492,lcb,26,8.08,0.97,0.06,0.038
P. Fonseca,San Carlos,625,"rcb3, rb",27,7.63,1.3,0,0.089
F. Faerrón,Cartaginés,1025,lcb,25,7.38,2.72,0.18,0.108
S. Johnson,Municipal Liberia,1462,"rb5, rb, rw",23,7.26,1.85,0.18,0.109
C. Barahona,Cartaginés,1131,rb,23,7,3.1,0.8,0.151
K. Gutiérrez,Puntarenas,628,"cb, rcb, rcb3",36,6.88,1.58,0,0.113
D. Araya,Herediano,1475,"lb, lb5, lw",25,6.71,2.32,0.31,0.114
D. González,Cartaginés,833,lb,30,6.7,1.84,0.54,0.035
F. Khatami,Puntarenas,1385,"lcb3, lcmf, lcb",21,6.69,1.17,0,0.074
S. Zúñiga,Cartaginés,1683,"lb, rw",29,6.58,1.87,0.21,0.098
H. Muñoz,Puntarenas,1490,"rcb3, rcb, rb",31,6.58,1.27,0.06,0.096
G. Villalobos,Alajuelense,1357,"lcb, rcb, cb",24,6.57,1.59,0.13,0.09
S. Rodríguez,Herediano,1585,"dmf, rcb3, lcmf",30,6.53,0.28,0,0.046
R. Bolaños,Sporting San José,996,lb,27,6.33,1.17,0.18,0.099
K. Villalobos Chavarría,Puntarenas,972,"lcb3, lb, lwf",30,6.3,0.93,0.09,0.096
K. Waston,Deportivo Saprissa,1774,"lcb, rcb",38,6.29,0.61,0,0.089
R. Cordoba,San Carlos,1387,"rcmf, lcmf, rcmf3",27,6.23,1.23,0.06,0.055
A. Guevara,San Carlos,688,"lw, lcmf3, lwf",37,6.15,1.57,0.26,0.026
K. Gómez,Puntarenas,1434,"rb5, rwb, rb",26,6.15,1.51,0.25,0.172
A. Bran,Alajuelense,1606,"lcmf, rcmf, ldmf",25,6.11,0.9,0.17,0.109
G. González,Sporting San José,1568,"rcb, cb",38,6.03,0.34,0,0.046
I. Gómez,Puntarenas,1560,"lwb, lb5, lb",27,5.94,1.5,0,0.118
J. Azofeifa,Deportivo Saprissa,1306,lb,25,5.93,0.69,0.14,0.106
R. Blanco,Deportivo Saprissa,777,rb,37,5.91,0.46,0,0.077
U. Segura,Puntarenas,1389,"lcmf, rcmf, amf",32,5.9,0.58,0.06,0.061
R. Araya,Herediano,689,"lw, lamf",26,5.88,3.13,0.39,0.153
W. Decas,Puntarenas,1505,"cb, lcb, lcb3",26,5.86,0.96,0,0.065
J. Valverde,Sporting San José,762,"rb, rb5, rw",30,5.67,2.48,0.24,0.145
Y. Hernández,Municipal Liberia,904,"lcmf, lcmf3, rcmf",30,5.48,1.19,0.2,0.091
D. López,Cartaginés,1412,"rcmf, lcmf, cf",27,5.48,0.7,0.06,0.058
W. Fernández,Pérez Zeledón,1726,"rcb, lcb",32,5.42,0.31,0,0.038
J. Campbell,Alajuelense,616,"cf, rcmf, amf",33,5.41,4.38,0,0.089
J. Rivera Stuart,Pérez Zeledón,1115,"rb, rb5",29,5.41,0.73,0,0.08
G. Castro,Cartaginés,567,"ramf, rw, cf",24,5.4,3.17,0.79,0.168
J. Leiva,Puntarenas,600,"rcmf, rdmf",33,5.4,0.3,0,0.024
G. Castillo,San Carlos,1368,"lb, lb5, lwb",24,5.39,2.04,0.07,0.059
H. Quirós,Herediano,1236,"rb, rb5",27,5.39,1.97,0.22,0.138
M. Angulo,Guadalupe,1535,"lcmf, rcmf, ldmf",39,5.28,0.82,0.12,0.01
D. Guzmán,Deportivo Saprissa,922,"ldmf, dmf, rcmf",36,5.27,0.29,0,0.008
W. Francis,Municipal Liberia,1026,"lcb3, lb5, lb",35,5.26,0.53,0,0.078
J. Guadamúz,Municipal Liberia,1471,"lb5, lb, lw",21,5.26,1.9,0.43,0.138
K. Guzmán,Guadalupe,1361,"rcb, rcb3",29,5.16,0.2,0,0.046
Y. Piedra,San Carlos,936,"lcb3, lcb",32,5.1,0.38,0,0.031
K. Fajardo,Guadalupe,714,"lcb3, lcb",36,5.04,0.13,0,0.018
L. Hernández,Pérez Zeledón,1554,"lb, lb5",28,5.04,0.41,0,0.058
J. Brenes,Deportivo Saprissa,900,"lcmf, ldmf",29,5,1.5,0.1,0.02
A. Salazar,Alajuelense,1451,"rcb, rcb3, rb",27,4.96,0.68,0.06,0.068
G. Montes,Herediano,784,"rcb, rcb3, cb",29,4.94,0.92,0,0.047
B. Bonilla,Guadalupe,741,"rcmf, lb5, rdmf",29,4.74,1.58,0,0.084
J. Agüero,San Carlos,1748,"cb, lcb, rcb",32,4.69,0.51,0,0.03
A. Sinclair,Puntarenas,732,"rcmf, lcmf, rdmf",26,4.67,0.61,0.12,0.02
R. Leal,Herediano,728,"lw, rw, amf",29,4.57,2.1,0.49,0.073
S. van der Putten,Alajuelense,730,"rcb, cb",21,4.56,0.25,0,0.022
M. Pereira,Cartaginés,1408,"lcb, rcb",31,4.54,1.34,0.13,0.035
M. González,San Carlos,1547,gk,29,4.42,0.06,0.06,0.037
J. Venegas,San Carlos,1316,"rw, rwb, rb5",38,4.38,2.8,0.21,0.084
Y. Salinas,Sporting San José,891,"rb, rcb3, rb5",27,4.34,0.4,0,0.058
G. Méndez,Guadalupe,1666,"lb, lb5",34,4.32,1.46,0.27,0.049
B. Alfaro,Cartaginés,589,"lcmf, rcmf, ldmf",29,4.28,0.76,0,0.04
L. Ayala,Guadalupe,642,"lcb, lcb3, lcmf",28,4.21,0,0,0.007
M. Ajú,Pérez Zeledón,598,gk,26,4.21,0,0,0.025
A. Matarrita,Deportivo Saprissa,563,"dmf, lcb3, rb",21,4.16,0.48,0,0.166
B. Segura,Pérez Zeledón,1156,gk,29,4.13,0,0,0.014
L. Moreira,Sporting San José,1646,gk,36,4.1,0,0,0.032
R. Rodríguez,Pérez Zeledón,930,"rcb, rb",23,4.06,0.19,0,0.05
R. Leal,Guadalupe,1025,gk,24,4.04,0,0,0.018
C. Pineda,Sporting San José,965,"lcmf, rcmf",28,4.01,1.03,0,0.009
R. Parkins,Alajuelense,998,"dmf, lcmf, ldmf",25,3.97,0.27,0,0.011
J. Hernández,Municipal Liberia,976,"cf, lw",32,3.97,2.21,0.37,0.098
B. Sequeira,Municipal Liberia,688,"rb, rw",28,3.92,1.7,0.13,0.024
Alejandro Porras,Pérez Zeledón,739,"rcmf, lcmf, rdmf",30,3.9,1.34,0.49,0.04
C. Martínez,San Carlos,1415,"lcmf, dmf, cb",32,3.88,0.51,0,0.006
K. Cerdas,San Carlos,908,"cf, rcmf, lw",30,3.87,0.4,0,0.076
D. Carvajal,Herediano,1642,gk,37,3.84,0,0,0.026
A. Pineda,Puntarenas,1709,gk,29,3.74,0,0,0.023
K. Espinoza,Sporting San José,561,"rcb3, rcb",29,3.69,0.8,0,0.06
K. Fuller,Herediano,857,"rb, rw, rb5",31,3.68,0.63,0.21,0.003
A. Soto,San Carlos,1575,"lw, cf, lcmf",23,3.66,0.86,0.06,0.034
F. Coronado,Sporting San José,814,"rcmf, dmf, rdmf",24,3.65,0.55,0.11,0.048
K. Briceño,Cartaginés,1867,gk,34,3.62,0,0,0.028
R. Miranda,Guadalupe,1575,"cb, lcb, rcb",30,3.54,0.17,0,0.019
G. Taylor,Deportivo Saprissa,1525,"rb, dmf",25,3.54,1.48,0.41,0.049
D. Masis,San Carlos,534,"lb5, lb, lwb",21,3.54,0.34,0.17,0.046
D. Colindres,Puntarenas,921,"lwf, cf, lw",41,3.42,0.59,0.1,0.039
L. Paradela,Deportivo Saprissa,1132,"lw, lamf, ramf",29,3.42,3.02,0.56,0.103
C. Reyes,Municipal Liberia,1459,"lcb, lcb3, rcb3",30,3.39,0.74,0,-0.012
J. Aguirre,Pérez Zeledón,905,"lcmf, rcmf, dmf",35,3.38,0.2,0.1,0.009
P. Arboine,Deportivo Saprissa,1628,rcb,28,3.32,0.39,0,0.039
Manuel Moran,Pérez Zeledón,1528,"rw, cf",28,3.18,2.95,0.71,0.102
M. Villalobos Vega,Municipal Liberia,863,"lw, rcmf3, lcmf3",26,3.13,2.4,0.52,0.063
D. Mesén,Cartaginés,1324,rcb,27,3.13,0.54,0,0.027
A. Monreal,Municipal Liberia,1701,gk,31,3.12,0,0,0.02
Y. Molina,Municipal Liberia,1544,"rcb3, rcb",30,3.09,0.12,0,0.026
A. Cruz,Herediano,1003,"lcmf, rcmf, cf",30,3.05,0.72,0.18,0.079
A. Madriz,Deportivo Saprissa,1774,gk,22,3.04,0,0,0.027
S. Acuña,Deportivo Saprissa,788,"rdmf, dmf, rcmf",23,2.97,0,0,0.007
L. Díaz,Sporting San José,979,"rw, rcmf3",27,2.94,2.67,1.2,0.123
K. Brown,Herediano,1232,"rcb, cb, lcb",34,2.92,0.29,0,0.018
J. Huertas,Municipal Liberia,1117,"cb, rcb, rb",31,2.9,0.48,0.08,0.034
E. Drummond Arroyo,Pérez Zeledón,903,"lcmf, dmf, rcmf",20,2.89,0,0,-0.024
G. Torres,Deportivo Saprissa,708,"rw, ramf",28,2.8,2.29,0.25,0.054
F. Piñar,Alajuelense,1094,rb,24,2.8,0.99,0.25,0.069
J. Mora,Deportivo Saprissa,555,"lb, lwb",33,2.76,0.81,0,0.038
Á. Zaldívar,Alajuelense,885,"cf, amf, rw",32,2.75,0.92,0.1,-0.009
C. Núñez,Cartaginés,1584,"cf, amf, lcmf",28,2.73,1.53,0.28,0.049
A. Murillo,Herediano,793,"rcmf, lcmf, lcmf3",28,2.72,1.02,0.34,0.046
Bancy Hernández,Deportivo Saprissa,1389,"lw, ramf, lamf",25,2.72,2.46,0.39,0.107
J. Ruiz,Guadalupe,983,"cf, amf",32,2.66,1.65,0.09,0.035
E. Morales,Guadalupe,985,"lw, rw, lamf",26,2.65,1.83,0.55,0.142
A. Amador,Guadalupe,893,"lw, rw, lamf",25,2.52,1.71,0.3,0.054
A. Hudson,Municipal Liberia,991,"rw, rb5, cf",20,2.45,1.36,0.27,0.055
C. Perez,Alajuelense,1149,"lw, rw, rcmf",21,2.43,1.49,0.16,0.034
S. Taylor,Deportivo Saprissa,1634,"rb, rb5",22,2.42,1.98,0.22,0.049
S. Lucumí,Alajuelense,677,"lw, cf, lamf",31,2.39,2.92,0.53,-0.011
R. Ramírez,Municipal Liberia,699,"lw, lcmf3, cf",22,2.32,1.29,0.52,0.056
R. Cole,Puntarenas,759,"rw, rwf, amf",27,2.25,1.54,0.47,-0.009
A. Hernández,Alajuelense,905,"rw, ramf, lcmf",24,2.19,2.39,0.4,0.043
